"There was an error:","Ha habido un error:"
"One payment method available:","Un método de pago disponible:"
"No payment methods available for this account.<br />Reason: ","No hay ningún método de pago disponible para su cuenta.
<br />Motivo: "
"This is version &quot;v%s&quot; of Mollie&lsquo;s Magento module.","Esta es la versión &quot;v%s&quot; del módulo Magento de Mollie."
"If you have any questions or suggestions, please contact <a href=""https://www.mollie.nl/bedrijf/contact"" title=""Mollie Support Contact"">Mollie B.V.</a>","Si tiene alguna pregunta o sugerencia, póngase en contacto con <a href='https://www.mollie.nl/bedrijf/contact' title='Contacto del servicio de ayuda de Mollie'>Mollie B.V.</a>"
"Mollie Settings","Ajustes Mollie"
"Mollie Support","Ayuda Mollie"
"<b>Mollie Api Key:</b><br/>Your Mollie Api Key. The payment is added to this account.","<b>Clave Api de Mollie:</b> <br/> Su Clave Api de Mollie. Los pagos se añaden a la cuenta correspondiente."
"<b>Status:</b><br/>Enable or disable the Mollie plugin.","<b>Estado:</b> <br/> Activar o desactivar el plugin de Mollie"
"<b>Description:</b><br/>Enter a description here. Use '%' for the order id. Payment methods may have a character limit: best keep the description under 29 characters.","<b>Descripción:</b> <br/> Escriba aquí una descripción. Use '%' para la identificación de la orden. Algunos métodos de pago tienen un límite: es mejor utilizar 29 caracteres o menos."
"<b>Manual invoices:</b><br/>Enable this option to skip auto-invoicing.","<b>Facturación manual:</b> <br/> Active esta opción para omitir la facturación automática."
"<b>Skip order confirmation mails:</b><br/>Enable this option to skip sending order confirmation mails to the customer.","<b>Deshabilitar los correos de pedidos:</b> <br/> Activar esta opción para deshabilitar los correos de confirmación de pedidos."
"<b>Skip invoice confirmation mails:</b><br/>Enable this option to skip sending invoice confirmation mails to the customer. This option only applies when manual invoicing is disabled.","<b>Desactivar correos electrónicos de facturación:</b> <br/> Activar esta opción para desactivar los correos electrónicos de confirmación de facturación. Esta opción sólo está activa cuando la Facturación manual está desactivada."
"<b>Show Images:</b><br/>Enable or disable payment method logos.","<b>Mostrar imágenes:</b> <br/> Activar o desactivar los logotipos de los métodos de pago."
"<b>Show Bank List:</b><br/>Enable to show the list of available banks in the webshop. When disabled, the customer can choose a bank on the payment screen.","<b>Mostrar lista de bancos:</b> <br/> Activar esta opción para mostrar la lista de bancos en la tienda web. Cuando la opción está desactivada, la lista se visualiza en la pantalla de pago."
"<b>Bank transfer due days:</b> <br/> Set the days for due date on bank transfer payments.","<b>Número de días de la transferencia bancaria:</b> <br/> Establezca los días para la fecha de vencimiento de las transferencias."
"<b>Status Pending:</b><br/>Set the order status before the customer is redirected to Payment Gateway.","<b>Estado Pendiente:</b> <br/> Establezca el estado del pedido cuando el cliente es redireccionado a Mollie."
"<b>Status Processing:</b><br/>Set the order status for a Successful Payment.","<b>Estado En proceso:</b> <br/> Establezca el estado del pedido una vez que el pago se haya completado con éxito."
"<b>Enable Logging:</b><br/>Enable this option to log all the action in a logfile located in /var/log/mollie.log.","<b>Activar Archivo de registro:</b> <br/> Activar esta opción para registrar todas las acciones en el archivo de registro en /var/log/mollie.log"
"Settings","Ajustes"
"Mollie Profiles [&rarr;]","Perfiles Mollie [→]"
"Mollie Dashboard [&rarr;]","Panel de control Mollie [→]"
"{Reserved}","{Reservado}"
"Select a bank:","Seleccione un banco:"
"Select Bank","Seleccione un banco"
"Your order is awaiting payment before being released for processing and shipment.","Una vez que recibamos su pago, su pedido será procesado."
"You are currently using version %s. We strongly recommend you to upgrade to the new version %s!","Actualmente está utilizando la versión %s. ¡Le recomendamos encarecidamente que actualice a la nueva versión %s!"
"Note: version information is accurate only when the cache is cleared.","Aviso: La información de la versión sólo es precisa cuando la caché está vacía."
"iDEAL","iDeal"
"Mister Cash","Mister Cash"
"Creditcard","Tarjeta de crédito"
"Bank transfer","Transferencia bancaria"
"PayPal","Paypal"
"paysafecard","paysafecard"
"Bitcoin","Bitcoin"
"KBC/CBC Payment Button","KBC/CBC-Botón de pago"
"Please select","Por favor, seleccione"
"Please Wait.<br>If you are not redirected shortly, click here.","Por favor, espere. <br>Si no se le redirige en breve, haga clic aquí."
"Redirecting to Mollie","Redirigiendo a Mollie"
"Bank Transfer Due Days","Fecha de vencimiento de Transferencia Bancaria"
"Your order has been received.","Su pedido ha sido recibido."
"Thank you for your purchase!","¡Gracias por su compra!"
"Your order # is: %s.","Su nº de pedido es: %s."
"You will receive an order confirmation email with details of your order.","Recibirá un correo electrónico de confirmación de pedido con los detalles del mismo."
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Haga clic <a href='%s' onclick=""this.target=\'_blank\'"">aquí para imprimir</a> una copia de la confirmación de su pedido."
"Your billing agreement # is: %s.","Su nº de facturación es: %s."
"Your recurring payment profiles:","Sus perfiles de pago recurrentes:"
"Payment profile # %s: %s""","Perfil de pago nº %s: %s"""
"Continue Shopping","Seguir comprando"
"Test API key","Probar clave de API"
"Run Self Test","Realizar el autodiagnóstico"
"API Key: Success!","Clave API: ¡Logrado con éxito!"
"Success: PHP version: ","Logrado con éxito: versión PHP: "
"Please make sure to enable \'json\' in your PHP configuration.","Compruebe si 'json' está activado en la configuración de PHP"
"Error: PHP extension JSON is not enabled. ","Error: La extensión PHP JSON no está activada. "
"Success: JSON is enabled.","Logrado con éxito: JSON está activada."
"Error: PHP extension cURL is not enabled. ","Error: La extensión PHP de cURL no está activada. "
"Please make sure to enable \'curl\' in your PHP configuration.","Comprueba si \'curl\' está activado en la configuración de PHP"
"Success: cURL is enabled.","Logrado con éxito: cURL está activado."
"Please check that none of these functions are disabled in your PHP configuration.","Compruebe que ninguna de estas funciones está deshabilitada en la configuración de PHP."
"Success: cURL functions are enabled","Logrado con éxito: las funciones de cURL estás activadas"
"be available: ","están disponibles: "
"Error: PHP extension JSON is not enabled. ","Erreur: l'extension PHP JSON n'est pas activée."
"Please make sure to enable \'curl\' in your PHP configuration.","Assurez-vous d'activer \ "curl \" dans votre configuration PHP."
"Error: This client requires the following cURL functions to %s","Error: Mollie sólo soporta la versión cURL %s"
"Error: The client requires PHP version >= %s, you have %s.","Error: Mollie sólo soporta la versión PHP = %s, tienes %s."
"Success: PHP version: %s.","Logrado con éxito: versión PHP: %s."
"API Key: %s","Clave API %s"
"Test Key: Empty value","Clé de test: valeur vide"
"API Key: Should start with ""test_"" or ""live_""","Clave API: debería comenzar con ""test_"" o ""live_"""
"Show iDeal Bank List","Mostrar la lista de selección de bancos de iDeal"
"Show Giftcard List","Mostrar la lista de selección de Tarjeta regalo"
"Bank Transfer Due Days","Días de vencimiento de la transferencia bancaria"
"Loading Screen","Pantalla de carga"
"Use loading screen before redirect. This will enable mobile users to use the back button.","Use la pantalla de carga para dirigirse a Mollie. Esta opción permite a los usuarios móviles volver atrás usando el botón anterior"
"Emails & Invoicing","Emails y Facturación"
"Status Pending","Estado Pendiente"
"Status Processing","Estado Procesando"
"Enable Logging","Activar Registro"
"Self Test","Autodiagnóstico"
"Payment cancelled, please try again.","Pago anulado, inténtelo de nuevo."
"Extension Version","Versión de la Extensión"
"Multi Currency","Multi Currency"
"Always use base Currency", "Use siempre moneda base"
"Force use of base currency for the payment request. Is set to no the selected currency of the storeview will be used for request.","Forzar el uso de la moneda base para la solicitud de pago. Está configurado como "no", la moneda seleccionada del storeview será usada para la solicitud."
"Debugging","Depuración"
"API Details","Detalles de la API"
"Api Test","Prueba de la API"
